kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
ras,random_sites,56,48.0288,1143.617,20.422,20.5288
ras,random_sites,64,56.2209,1325.458,20.710,24.7209
ras,random_sites,80,72.7437,1692.499,21.156,33.2437
ras,random_sites,96,89.1257,2057.111,21.428,41.6257
ras,random_sites,128,122.0105,2787.210,21.775,58.5105
penalty_header,muls,p32,mis_per_iter,cycles_per_iter
penalty,0,0,0.00001,2.0020
penalty,0,1,0.03140,2.4532
penalty,0,2,0.06421,2.9099
penalty,0,4,0.12974,3.8303
penalty,0,8,0.26018,5.6783
penalty,0,16,0.49602,9.3704
penalty_fit,0,14.8078,1.9514,14.7360,14.8599
penalty,4,0,0.00001,12.0007
penalty,4,1,0.03151,12.7145
penalty,4,2,0.06429,13.4548
penalty,4,4,0.13183,14.9993
penalty,4,8,0.25830,17.9775
penalty,4,16,0.49735,23.6802
penalty_fit,4,23.4967,11.9542,23.4563,23.5261
penalty,8,0,0.00001,24.0009
penalty,8,1,0.03184,24.9891
penalty,8,2,0.06494,26.0026
penalty,8,4,0.13084,28.0714
penalty,8,8,0.26231,32.3101
penalty,8,16,0.49894,40.4502
penalty_fit,8,32.9550,23.8719,32.8308,33.0579
