kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
btb,32,1,1.0001,0.00000,0.00000,0.0000,0.00000
btb,32,2,1.0002,0.00000,0.00000,0.0001,0.00000
btb,32,3,1.0002,0.00000,0.00000,0.0001,0.00000
btb,32,4,1.0002,0.00000,0.00000,0.0001,0.00000
btb,32,6,1.0002,0.00000,0.00000,0.0001,0.00000
btb,32,8,1.0002,0.00000,0.00001,0.0001,0.00000
btb,32,12,1.0002,0.00000,0.00001,0.0001,0.00000
btb,32,16,1.6669,0.00000,0.00001,0.6668,0.00000
btb,32,24,1.9338,0.00000,0.00001,0.9337,0.00000
btb,32,32,2.0003,0.00000,0.00002,1.0001,0.00000
btb,32,48,2.0003,0.00000,0.00002,1.0002,0.00000
btb,32,64,2.0003,0.00000,0.00003,1.0002,0.00000
btb,32,96,2.0389,0.00000,0.00004,1.0388,0.00000
btb,32,128,2.0462,0.00000,0.00006,1.0461,0.00000
btb,32,192,2.0264,0.00000,0.00009,1.0263,0.00000
btb,32,256,2.0317,0.00000,0.00012,1.0317,0.00000
btb,32,384,2.0206,0.00000,0.00018,1.0205,0.00000
btb,32,512,2.0131,0.00000,0.00024,1.0130,0.00000
btb,32,768,2.0111,0.00000,0.00036,1.0110,0.00000
btb,32,1024,2.0122,0.00000,0.00048,1.0121,0.00000
btb,32,1536,2.0144,0.00000,0.00074,1.0144,0.00000
btb,32,2048,2.0287,0.00000,0.00370,1.0291,0.00000
btb,32,3072,4.2276,0.00000,0.55357,3.2400,0.00000
btb,32,4096,4.8087,0.00000,0.69764,3.8127,0.00000
btb,32,6144,5.3310,0.00017,0.82058,4.3321,0.00000
btb,32,8192,9.6072,0.00016,1.27821,8.6070,0.00000
btb,32,12288,17.3502,0.00014,2.34116,16.3500,0.00000
btb,32,16384,21.7874,0.00011,3.01323,20.7869,0.00000
btb,32,24576,31.7325,0.00008,4.41199,30.7322,0.00000
btb,32,32768,38.0333,0.00006,4.86211,37.0330,0.00000
btb,32,49152,44.6435,0.00004,5.44637,43.6432,0.00000
btb,32,65536,54.8359,0.00003,5.66503,53.8357,0.00000
btb,64,1,1.0002,0.00000,0.00000,0.0001,0.00000
btb,64,2,1.0002,0.00000,0.00000,0.0001,0.00000
btb,64,3,1.0002,0.00000,0.00001,0.0001,0.00000
btb,64,4,1.0002,0.00000,0.00001,0.0001,0.00000
btb,64,6,1.0002,0.00000,0.00001,0.0001,0.00000
btb,64,8,1.0002,0.00000,0.00001,0.0001,0.00000
btb,64,12,1.0002,0.00000,0.00001,0.0001,0.00000
btb,64,16,1.6669,0.00000,0.00002,0.6668,0.00000
btb,64,24,1.9336,0.00000,0.00002,0.9335,0.00000
btb,64,32,2.0003,0.00000,0.00003,1.0002,0.00000
btb,64,48,2.0003,0.00000,0.00004,1.0002,0.00000
btb,64,64,2.0004,0.00000,0.00006,1.0003,0.00000
btb,64,96,2.0299,0.00000,0.00009,1.0297,0.00000
btb,64,128,2.0386,0.00000,0.00012,1.0385,0.00000
btb,64,192,2.0424,0.00000,0.00018,1.0423,0.00000
btb,64,256,2.0365,0.00000,0.00025,1.0364,0.00000
btb,64,384,2.0382,0.00000,0.00037,1.0382,0.00000
btb,64,512,2.0283,0.00000,0.00049,1.0282,0.00000
btb,64,768,2.0413,0.00000,0.00074,1.0412,0.00000
btb,64,1024,2.0535,0.00000,0.00591,1.0539,0.00000
btb,64,1536,6.0342,0.00000,0.99929,5.0341,0.00000
btb,64,2048,6.0370,0.00000,0.99987,5.0369,0.00000
btb,64,3072,6.0824,0.00042,1.00372,5.0811,0.00000
btb,64,4096,9.6987,0.00027,1.32309,8.6979,0.00000
btb,64,6144,18.0003,0.00027,2.32091,16.9994,0.00000
btb,64,8192,23.0424,0.00022,3.07766,22.0414,0.00000
btb,64,12288,33.2295,0.00015,4.55022,32.2288,0.00000
btb,64,16384,39.3089,0.00012,5.02822,38.3084,0.00000
btb,64,24576,45.3710,0.00008,5.54811,44.3705,0.00000
btb,64,32768,61.3382,0.00006,5.68143,60.3378,0.00000
btb,64,49152,117.7756,0.00004,5.65217,116.7753,0.00000
btb,64,65536,163.5092,0.00003,5.95319,162.5087,0.00000
btb,256,1,1.0002,0.00000,0.00000,0.0001,0.00000
btb,256,2,1.0002,0.00000,0.00000,0.0001,0.00000
btb,256,3,1.0002,0.00000,0.00001,0.0001,0.00000
btb,256,4,1.0002,0.00000,0.00001,0.0001,0.00000
btb,256,6,1.0002,0.00000,0.00001,0.0001,0.00000
btb,256,8,1.0002,0.00000,0.00001,0.0001,0.00000
btb,256,12,1.0002,0.00000,0.00001,0.0001,0.00000
btb,256,16,1.6669,0.00000,0.00002,0.6668,0.00000
btb,256,24,1.9336,0.00000,0.00002,0.9335,0.00000
btb,256,32,2.0003,0.00000,0.00004,1.0002,0.00000
btb,256,48,2.0004,0.00000,0.00005,1.0003,0.00000
btb,256,64,2.0005,0.00000,0.00007,1.0004,0.00000
btb,256,96,2.3990,0.00000,0.00010,1.3989,0.00000
btb,256,128,2.4777,0.00000,0.00015,1.4776,0.00000
