op,threads,size_per_thread_bytes,total_bytes,n_valid,gbps_median,gbps_mad,gbps_ci95_lo,gbps_ci95_hi,gbps_per_thread,bytes_per_cycle,l1d_refill_per_kib,l2d_refill_per_kib,l3d_refill_per_kib,bus_access_per_kib
copy,1,33554432,33554432,30,9.1221,0.0306,9.0995,9.1554,9.1221,3.80519,3.23511,3.07896,7.70931,66.67584
copy,1,134217728,134217728,30,8.8751,0.0124,8.8690,8.8852,8.8751,3.70306,3.19695,3.02002,7.91997,66.70213
copy,1,268435456,268435456,30,8.8307,0.0165,8.8248,8.8395,8.8307,3.68375,3.20071,3.01913,7.97957,66.66879
read,2,16384,32768,30,150.3450,0.0974,150.2982,150.3918,75.17251,,,,,
read,2,32768,65536,30,118.0470,0.9786,117.4444,118.6237,59.02348,,,,,
read,2,65536,131072,30,119.3022,0.2519,119.0944,119.5161,59.65110,,,,,
read,2,131072,262144,30,88.2549,0.1094,88.1885,88.3014,44.12745,,,,,
read,2,262144,524288,30,88.0028,0.2798,86.9622,88.1218,44.00141,,,,,
read,2,393216,786432,30,83.0734,1.0238,81.2380,83.7231,41.53668,,,,,
read,2,524288,1048576,30,77.7754,0.7732,77.3119,78.2275,38.88772,,,,,
read,2,1048576,2097152,30,55.6009,0.2979,55.2712,55.7382,27.80045,,,,,
read,2,1572864,3145728,30,44.4632,0.9404,43.5293,44.9595,22.23160,,,,,
read,2,2097152,4194304,30,23.2837,0.2762,23.1510,23.5578,11.64185,,,,,
read,2,4194304,8388608,30,17.7534,0.1851,17.5391,17.8167,8.87670,,,,,
read,2,8388608,16777216,30,15.0650,0.1253,14.9396,15.1395,7.53251,,,,,
read,2,33554432,67108864,30,13.3117,0.2468,13.1233,13.5202,6.65586,,,,,
read,2,134217728,268435456,30,13.2527,0.1583,13.1059,13.3448,6.62635,,,,,
read,2,268435456,536870912,30,13.3081,0.1380,13.1370,13.3713,6.65404,,,,,
write,2,16384,32768,30,76.2194,0.0330,76.1897,76.2396,38.10969,,,,,
write,2,32768,65536,30,76.4564,0.0258,76.4350,76.4745,38.22818,,,,,
write,2,65536,131072,30,70.3106,0.9747,69.7856,70.9357,35.15532,,,,,
write,2,131072,262144,30,54.5576,7.0391,50.7262,62.7437,27.27881,,,,,
write,2,262144,524288,30,30.6256,4.5187,29.4924,35.1442,15.31279,,,,,
write,2,393216,786432,30,22.6534,4.3467,16.6107,26.0389,11.32668,,,,,
write,2,524288,1048576,30,20.0892,1.1958,19.2333,21.1619,10.04459,,,,,
write,2,1048576,2097152,30,14.2296,1.5938,12.6077,15.2074,7.11482,,,,,
write,2,1572864,3145728,30,13.7675,0.9517,13.3636,14.6285,6.88373,,,,,
write,2,2097152,4194304,30,12.6556,0.3867,12.5176,12.9326,6.32782,,,,,
write,2,4194304,8388608,30,11.0652,0.1084,10.9992,11.1401,5.53262,,,,,
write,2,8388608,16777216,30,10.1371,0.2530,10.0360,10.3408,5.06854,,,,,
write,2,33554432,67108864,30,9.8495,0.2698,9.6492,10.0176,4.92476,,,,,
write,2,134217728,268435456,30,9.8201,0.4387,9.5003,10.0053,4.91004,,,,,
write,2,268435456,536870912,30,9.6543,0.3033,9.3694,9.8267,4.82717,,,,,
copy,2,16384,32768,30,148.5805,0.2312,148.3403,148.7246,74.29027,,,,,
copy,2,32768,65536,30,150.2546,0.4178,150.1387,150.5770,75.12732,,,,,
copy,2,65536,131072,30,144.0777,1.8193,143.0046,145.1540,72.03887,,,,,
copy,2,131072,262144,30,130.8233,3.3456,126.4601,132.6292,65.41163,,,,,
copy,2,262144,524288,30,59.5476,3.3402,56.6425,61.8602,29.77378,,,,,
copy,2,393216,786432,30,43.5412,10.1859,37.2630,49.2359,21.77061,,,,,
copy,2,524288,1048576,30,46.5648,5.5686,44.4642,49.8787,23.28239,,,,,
copy,2,1048576,2097152,30,23.1463,1.1583,22.2875,23.9309,11.57315,,,,,
copy,2,1572864,3145728,30,15.4930,0.5848,14.3964,15.8426,7.74650,,,,,
copy,2,2097152,4194304,30,12.2805,0.1985,12.1702,12.3611,6.14025,,,,,
copy,2,4194304,8388608,30,9.4982,0.3106,9.1812,9.6596,4.74909,,,,,
copy,2,8388608,16777216,30,8.6576,0.1762,8.5495,8.8196,4.32880,,,,,
copy,2,33554432,67108864,30,8.5229,0.1650,8.3961,8.6409,4.26146,,,,,
copy,2,134217728,268435456,30,8.2817,0.2968,8.1246,8.4836,4.14087,,,,,
copy,2,268435456,536870912,30,8.2454,0.2812,8.0400,8.4216,4.12269,,,,,
read,3,16384,49152,30,225.6509,0.3783,225.6287,225.9547,75.21698,,,,,
read,3,32768,98304,30,176.1109,0.9076,175.7771,177.0293,58.70365,,,,,
read,3,65536,196608,30,179.0321,0.3234,178.6541,179.2188,59.67738,,,,,
read,3,131072,393216,30,132.1852,0.2346,132.0074,132.3179,44.06173,,,,,
read,3,262144,786432,30,131.9045,0.3325,131.7056,132.1053,43.96817,,,,,
read,3,393216,1179648,30,124.4995,1.2660,123.8704,126.4012,41.49982,,,,,
read,3,524288,1572864,30,94.1015,2.3840,85.2136,94.9262,31.36715,,,,,
read,3,1048576,3145728,30,34.1549,0.6709,33.1277,34.5631,11.38497,,,,,
read,3,1572864,4718592,30,25.3425,0.4649,24.8007,25.6235,8.44748,,,,,
read,3,2097152,6291456,30,17.8093,0.2215,17.7479,18.0188,5.93643,,,,,
