kind,a,b,c,d,e,f,g,h
pp_header,variant,initiator,responder,ns_one_way,cycles_one_way,ci95_lo,ci95_hi
pp,stlr_ldar,0,1,69.412,166.46,68.291,69.981
pp,stlr_ldar,0,2,72.448,173.71,72.416,72.464
pp,stlr_ldar,0,3,69.656,167.08,69.214,70.479
pp,stlr_ldar,1,0,72.152,173.03,70.991,72.314
pp,stlr_ldar,1,2,68.775,164.93,67.986,70.287
pp,stlr_ldar,1,3,71.471,171.37,70.787,72.248
pp,stlr_ldar,2,0,72.443,173.74,72.406,72.459
pp,stlr_ldar,2,1,71.609,171.61,70.195,72.189
pp,stlr_ldar,2,3,68.869,165.19,67.770,69.366
pp,stlr_ldar,3,0,68.965,165.39,68.404,69.229
pp,stlr_ldar,3,1,72.464,173.78,72.434,72.474
pp,stlr_ldar,3,2,70.156,168.24,69.579,71.177
pp,ldaddal_ldar,0,1,69.620,166.94,69.591,69.636
pp,ldaddal_ldar,0,2,69.516,166.68,69.484,69.540
pp,ldaddal_ldar,0,3,69.297,166.19,69.286,69.317
pp,ldaddal_ldar,1,0,69.223,166.00,69.190,69.238
pp,ldaddal_ldar,1,2,69.753,167.30,69.728,69.764
pp,ldaddal_ldar,1,3,69.516,166.70,69.495,69.534
pp,ldaddal_ldar,2,0,69.340,166.27,69.326,69.361
pp,ldaddal_ldar,2,1,69.683,167.14,69.672,69.708
pp,ldaddal_ldar,2,3,69.701,167.17,69.687,69.725
pp,ldaddal_ldar,3,0,69.648,167.03,69.632,69.673
pp,ldaddal_ldar,3,1,69.115,165.74,69.092,69.141
pp,ldaddal_ldar,3,2,69.442,166.52,69.423,69.452
ppl_header,line,initiator,responder,ns_one_way,cycles_one_way,ci95_lo,ci95_hi
ppl,0,0,1,69.675,167.10,68.267,70.680
ppl,0,0,2,72.454,173.74,72.418,72.478
ppl,0,0,3,70.990,170.23,69.832,71.883
ppl,0,1,0,70.502,169.05,68.881,71.917
ppl,0,1,2,69.701,167.10,68.184,70.871
ppl,0,1,3,71.737,172.04,70.336,72.302
ppl,0,2,0,72.437,173.71,72.412,72.462
ppl,0,2,1,72.066,172.83,70.798,72.341
ppl,0,2,3,68.915,165.29,68.576,70.260
ppl,0,3,0,69.259,166.13,68.560,70.198
ppl,0,3,1,72.384,173.58,72.108,72.435
ppl,0,3,2,71.162,170.67,69.996,71.951
ppl,1,0,1,69.290,166.14,68.034,70.817
ppl,1,0,2,72.433,173.70,72.409,72.454
ppl,1,0,3,70.642,169.35,69.885,71.254
ppl,1,1,0,71.023,170.33,69.700,71.710
ppl,1,1,2,68.705,164.78,67.862,69.473
ppl,1,1,3,71.702,171.92,71.288,72.214
ppl,1,2,0,72.430,173.70,72.390,72.452
ppl,1,2,1,70.935,170.15,69.517,72.242
ppl,1,2,3,69.040,165.58,68.066,69.689
ppl,1,3,0,69.544,166.80,68.815,70.319
ppl,1,3,1,72.386,173.62,71.029,72.431
ppl,1,3,2,71.241,170.78,70.607,71.812
ppl,2,0,1,67.662,162.26,67.649,68.774
ppl,2,0,2,72.414,173.69,72.319,72.441
ppl,2,0,3,70.282,168.55,68.854,71.345
ppl,2,1,0,70.203,168.23,68.832,71.598
ppl,2,1,2,68.508,164.31,67.807,70.428
ppl,2,1,3,72.298,173.37,70.948,72.375
ppl,2,2,0,72.440,173.75,72.423,72.478
ppl,2,2,1,70.461,168.96,68.589,71.211
ppl,2,2,3,68.596,164.48,67.685,69.298
ppl,2,3,0,69.829,167.49,68.864,71.012
ppl,2,3,1,72.459,173.78,72.432,72.474
ppl,2,3,2,71.204,170.78,69.050,72.078
ppl,3,0,1,69.699,167.19,68.605,71.416
ppl,3,0,2,72.451,173.75,72.435,72.461
ppl,3,0,3,70.582,169.23,69.720,71.255
ppl,3,1,0,70.534,169.15,69.353,72.085
ppl,3,1,2,69.651,167.04,68.411,70.388
ppl,3,1,3,72.105,172.92,71.895,72.293
ppl,3,2,0,72.438,173.74,72.410,72.459
ppl,3,2,1,69.118,165.78,67.790,71.151
ppl,3,2,3,68.945,165.37,68.456,69.554
ppl,3,3,0,68.761,164.91,67.787,69.454
ppl,3,3,1,72.402,173.63,72.140,72.463
ppl,3,3,2,70.779,169.70,69.676,71.791
sf_header,case,cycles_per_pair,retired_per_pair
sf,"baseline: str x / ldr x on another line (no overlap, no forwarding)",1.001,2.250
sf,"str x / ldr x (same address)",5.500,2.250
