kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
stride,L3-resident,-64,15.7729,37.824,1.0423,1.00000,0.91133,0.00000,0.00000,8.2908,0.00000
stride,L3-resident,random,15.1322,36.294,1.0000,1.00000,0.92525,0.00000,0.00000,7.7588,0.00000
stride,DRAM,1,4.5611,10.915,0.0414,0.86935,0.92738,0.98255,0.98255,7.9990,0.00384
stride,DRAM,2,21.7243,52.068,0.1971,0.96255,0.22629,1.01489,1.01489,8.8133,0.00751
stride,DRAM,3,21.8307,52.287,0.1981,0.75817,0.29514,1.00151,1.00151,8.1551,0.01079
stride,DRAM,4,26.2115,62.816,0.2378,0.73177,0.27538,1.00726,1.00726,8.7336,0.01432
stride,DRAM,5,26.2845,62.929,0.2385,0.70915,0.34701,1.02281,1.02281,8.3345,0.01809
stride,DRAM,6,29.8326,71.491,0.2707,0.77750,0.34983,1.01660,1.01660,8.3469,0.02148
stride,DRAM,8,28.1235,67.422,0.2552,0.70295,0.37047,1.00388,1.00388,8.0956,0.02889
stride,DRAM,10,25.8164,61.857,0.2342,0.56492,0.27947,1.02769,1.02769,8.3833,0.03579
stride,DRAM,12,27.5814,66.106,0.2503,0.76418,0.37308,1.06982,1.06982,8.6658,0.04320
stride,DRAM,16,10.1557,24.324,0.0921,0.82601,0.35168,1.02328,1.02328,8.2744,0.05750
stride,DRAM,18,15.0173,35.973,0.1363,0.76226,0.30274,1.09728,1.09728,8.9669,0.06399
stride,DRAM,20,19.5794,46.908,0.1777,0.80386,0.34071,1.13250,1.13250,9.2281,0.07093
stride,DRAM,21,28.7827,68.978,0.2612,0.84678,0.42503,1.16825,1.16825,9.5691,0.07519
stride,DRAM,22,101.6986,243.914,0.9228,0.99995,1.00991,1.26216,1.26216,10.2915,0.07964
stride,DRAM,23,101.2343,242.768,0.9186,0.99995,1.01122,1.25721,1.25721,10.2813,0.08355
stride,DRAM,24,102.5736,245.900,0.9307,0.99995,1.00291,1.29604,1.29604,10.3857,0.08713
stride,DRAM,32,102.6823,246.236,0.9317,0.99995,1.00104,1.14567,1.14567,9.1831,0.11610
stride,DRAM,48,103.0507,247.024,0.9350,0.99995,1.00299,1.26742,1.26742,10.1459,0.17605
