kind,a,b,c,d,e,f,g,h
instr_header,name,kind,cycles_per_instr,retired_per_instr
instr,"add x,x,x",latency,1.0002,1.1251
instr,"add x,x,x",throughput,0.3545,1.1251
instr,"mul x,x,x",latency,4.0627,1.1251
instr,"mul x,x,x",throughput,3.0002,1.1251
instr,"madd x,x,x,x",latency (accumulator),4.0627,1.1251
instr,"madd x,x,x,x",throughput,3.0002,1.1251
instr,"sdiv x,x,x (divide by 1)",latency,5.0002,1.1251
instr,"sdiv x,x,x (0x7fff.. / 3)",throughput,20.0002,1.1251
window,nop,192,250.618,200.004,199.618,50.013
window,nop,224,258.659,232.004,199.658,58.016
window,nop,256,267.956,264.004,200.971,66.016
window,nop,320,283.463,328.004,200.445,82.017
window,nop,384,300.418,392.004,201.422,98.018
window,nop,448,317.239,456.004,202.240,114.021
window,nop,512,333.130,520.004,202.121,130.017
window_jump,nop,4,8,6.27,13,16
window_jump,nop,8,12,3.51,17,20
window_jump,nop,12,16,4.62,21,24
window_jump,nop,16,20,6.53,25,28
window_jump,nop,20,24,9.21,29,32
window_jump,nop,34,36,16.84,43,44
window_jump,nop,54,56,31.42,63,64
window_jump,nop,118,120,88.63,127,128
window,int_add,0,29.449,8.004,27.011,3.793
window,int_add,1,31.769,9.004,28.917,3.615
window,int_add,2,34.533,10.004,31.348,3.597
window,int_add,4,39.503,12.004,35.930,3.662
window,int_add,8,49.789,16.004,45.219,4.687
window,int_add,12,58.135,20.004,52.473,6.015
window,int_add,16,69.509,24.004,62.849,7.348
window,int_add,20,71.131,28.004,63.430,8.682
window,int_add,24,89.476,32.004,80.863,10.014
window,int_add,26,90.333,34.004,81.079,10.685
window,int_add,28,91.049,36.004,81.337,11.349
window,int_add,30,91.692,38.004,81.469,12.017
window,int_add,32,92.453,40.004,81.738,12.681
window,int_add,34,93.057,42.004,81.781,13.348
window,int_add,36,97.063,44.004,85.481,14.014
window,int_add,38,127.411,46.004,115.125,14.683
window,int_add,40,128.790,48.004,116.165,15.348
window,int_add,42,129.203,50.004,115.929,16.016
window,int_add,44,129.826,52.004,116.098,16.681
window,int_add,46,130.951,54.004,116.702,17.348
window,int_add,48,131.595,56.004,116.875,18.016
window,int_add,50,132.040,58.004,116.806,18.680
window,int_add,52,132.757,60.004,117.050,19.363
window,int_add,54,133.418,62.004,117.189,20.014
window,int_add,56,134.085,64.004,117.365,20.683
window,int_add,58,134.668,66.004,117.427,21.349
window,int_add,60,135.519,68.004,117.805,22.015
window,int_add,62,136.033,70.004,117.780,22.686
window,int_add,64,136.918,72.004,118.219,23.347
window,int_add,66,137.489,74.004,118.268,24.018
window,int_add,68,138.137,76.004,118.407,24.680
window,int_add,70,138.823,78.004,118.555,25.347
window,int_add,72,139.598,80.004,118.873,26.015
window,int_add,74,140.083,82.004,118.752,26.682
window,int_add,76,140.824,84.004,119.093,27.352
window,int_add,78,144.640,86.004,122.137,28.015
window,int_add,80,162.962,88.004,140.214,28.681
window,int_add,82,235.109,90.004,211.919,29.350
window,int_add,84,236.883,92.004,213.285,30.016
window,int_add,86,238.689,94.004,214.403,30.684
window,int_add,88,239.211,96.004,214.617,31.350
window,int_add,90,239.935,98.004,214.733,32.018
window,int_add,92,240.213,100.004,214.538,32.685
window,int_add,94,242.093,102.004,215.859,33.350
window,int_add,96,242.446,104.004,215.760,34.017
window,int_add,98,243.208,106.004,215.976,34.683
window,int_add,100,243.837,108.004,216.152,35.349
window,int_add,102,244.745,110.004,216.538,36.017
window,int_add,104,245.747,112.004,217.052,36.680
window,int_add,106,245.611,114.004,216.390,37.348
window,int_add,108,246.173,116.004,216.469,38.016
window,int_add,110,247.134,118.004,216.917,38.682
window,int_add,112,247.823,120.004,217.103,39.351
window,int_add,114,248.955,122.004,217.769,40.019
window,int_add,116,249.347,124.004,217.653,40.682
window,int_add,118,250.220,126.004,217.985,41.350
window,int_add,120,250.031,128.004,217.316,42.016
window,int_add,122,251.232,130.004,218.007,42.684
window,int_add,124,251.642,132.004,217.924,43.347
window,int_add,126,253.109,134.004,218.858,44.016
window,int_add,128,253.715,136.004,219.004,44.687
window,int_add,130,254.297,138.004,219.074,45.350
window,int_add,132,254.476,140.004,218.713,46.017
window,int_add,134,254.876,142.004,218.611,46.684
window,int_add,136,256.073,144.004,219.280,47.351
window,int_add,138,256.946,146.004,219.589,48.017
window,int_add,140,257.206,148.004,219.461,48.683
window,int_add,142,258.152,150.004,219.738,49.352
window,int_add,144,259.598,152.004,220.715,50.018
window,int_add,160,265.365,168.004,221.747,55.352
window,int_add,176,269.632,184.004,220.926,60.683
window,int_add,192,274.446,200.004,220.944,66.018
window,int_add,224,285.192,232.004,222.047,76.686
window,int_add,256,295.982,264.004,222.976,87.354
window,int_add,320,318.172,328.004,224.136,108.685
window,int_add,384,339.913,392.004,224.775,130.017
window,int_add,448,362.024,456.004,225.775,151.359
window,int_add,512,383.114,520.004,225.687,172.688
window_jump,int_add,2,4,4.29,11,12
window_jump,int_add,4,8,8.93,13,16
window_jump,int_add,8,12,6.99,17,20
window_jump,int_add,12,16,10.01,21,24
window_jump,int_add,20,24,16.99,29,32
window_jump,int_add,34,36,3.33,43,44
window_jump,int_add,36,38,29.67,45,46
window_jump,int_add,76,78,3.14,85,86
window_jump,int_add,78,80,17.64,87,88
window_jump,int_add,80,82,71.47,89,90
window,vec_eor,0,29.451,8.004,27.016,3.798
window,vec_eor,1,29.459,9.004,26.638,3.655
window,vec_eor,2,29.772,10.004,10.862,3.651
window,vec_eor,4,32.760,12.004,28.674,3.616
window,vec_eor,8,40.103,16.004,34.653,4.013
window,vec_eor,12,44.870,20.004,39.150,6.011
window,vec_eor,16,50.505,24.004,43.723,8.010
window,vec_eor,20,58.498,28.004,50.135,10.010
window,vec_eor,24,69.524,32.004,60.709,12.011
window,vec_eor,26,70.406,34.004,61.329,13.010
window,vec_eor,28,70.969,36.004,61.251,14.010
window,vec_eor,30,71.646,38.004,61.468,15.010
window,vec_eor,32,86.044,40.004,75.754,16.011
window,vec_eor,34,90.259,42.004,79.150,17.010
window,vec_eor,36,90.963,44.004,79.335,18.010
window,vec_eor,38,91.679,46.004,79.616,19.010
window,vec_eor,40,91.915,48.004,79.300,20.010
window,vec_eor,42,92.489,50.004,79.251,21.011
window,vec_eor,44,93.007,52.004,78.813,22.010
window,vec_eor,46,94.066,54.004,79.953,23.023
window,vec_eor,48,121.018,56.004,106.702,24.010
window,vec_eor,50,129.370,58.004,114.281,25.010
window,vec_eor,52,129.738,60.004,114.069,26.009
window,vec_eor,54,130.641,62.004,114.652,27.010
window,vec_eor,56,130.889,64.004,114.195,28.010
window,vec_eor,58,131.416,66.004,114.238,29.009
window,vec_eor,60,131.849,68.004,114.169,30.010
window,vec_eor,62,132.590,70.004,114.436,31.011
window,vec_eor,64,133.356,72.004,114.670,32.010
window,vec_eor,66,133.899,74.004,114.799,33.010
window,vec_eor,68,134.256,76.004,114.615,34.010
window,vec_eor,70,135.221,78.004,115.078,35.010
window,vec_eor,72,135.840,80.004,115.154,36.010
window,vec_eor,74,136.644,82.004,115.455,37.010
window,vec_eor,76,137.401,84.004,115.696,38.011
window,vec_eor,78,139.006,86.004,116.814,39.010
window,vec_eor,80,140.028,88.004,117.354,40.010
window,vec_eor,82,140.846,90.004,117.717,41.011
window,vec_eor,84,142.161,92.004,118.361,42.011
window,vec_eor,86,143.208,94.004,118.867,43.011
window,vec_eor,88,144.196,96.004,119.051,44.011
window,vec_eor,90,145.286,98.004,120.115,45.011
window,vec_eor,92,146.024,100.004,120.347,46.010
window,vec_eor,94,153.228,102.004,127.047,47.011
window,vec_eor,96,218.969,104.004,192.690,48.011
window,vec_eor,98,239.284,106.004,212.185,49.011
window,vec_eor,100,240.952,108.004,213.324,50.010
window,vec_eor,102,242.094,110.004,213.994,51.010
window,vec_eor,104,242.560,112.004,213.953,52.010
window,vec_eor,106,242.817,114.004,213.700,53.010
window,vec_eor,108,242.541,116.004,212.922,54.010
window,vec_eor,110,244.003,118.004,213.744,55.010
window,vec_eor,112,244.325,120.004,213.734,56.010
window,vec_eor,114,245.123,122.004,214.095,57.013
window,vec_eor,116,244.455,124.004,212.777,58.011
window,vec_eor,118,246.126,126.004,214.124,59.011
window,vec_eor,120,245.926,128.004,213.217,60.011
window,vec_eor,122,246.947,130.004,213.821,61.011
window,vec_eor,124,246.937,132.004,213.320,62.010
window,vec_eor,126,248.304,134.004,214.069,63.010
window,vec_eor,128,249.289,136.004,214.628,64.011
window,vec_eor,130,249.267,138.004,214.190,65.010
window,vec_eor,132,249.125,140.004,213.310,66.011
window,vec_eor,134,249.962,142.004,213.999,67.010
window,vec_eor,136,250.463,144.004,213.706,68.010
window,vec_eor,138,250.675,146.004,213.542,69.011
window,vec_eor,140,250.810,148.004,213.116,70.011
window,vec_eor,142,251.523,150.004,213.354,71.012
window,vec_eor,144,252.350,152.004,213.727,72.010
window,vec_eor,160,262.043,168.004,219.412,80.010
window,vec_eor,176,270.125,184.004,223.454,88.010
window,vec_eor,192,278.517,200.004,227.811,96.011
window,vec_eor,224,295.184,232.004,236.521,112.011
window,vec_eor,256,311.187,264.004,244.462,128.011
window,vec_eor,320,343.450,328.004,260.810,160.013
window,vec_eor,384,376.100,392.004,277.413,192.012
window,vec_eor,448,408.436,456.004,293.780,224.012
window,vec_eor,512,440.614,520.004,309.965,256.013
window_jump,vec_eor,4,8,5.32,13,16
window_jump,vec_eor,8,12,2.75,17,20
window_jump,vec_eor,12,16,3.62,21,24
window_jump,vec_eor,16,20,5.97,25,28
window_jump,vec_eor,20,24,9.01,29,32
window_jump,vec_eor,30,32,13.39,39,40
window_jump,vec_eor,32,34,3.20,41,42
window_jump,vec_eor,46,48,25.94,55,56
window_jump,vec_eor,48,50,7.34,57,58
window_jump,vec_eor,92,94,6.19,101,102
window_jump,vec_eor,94,96,64.73,103,104
window_jump,vec_eor,96,98,19.30,105,106
window,load_l1,0,29.548,8.004,27.090,3.794
window,load_l1,1,31.492,9.004,28.694,3.661
window,load_l1,2,33.774,10.004,30.796,3.628
window,load_l1,4,37.954,12.004,34.510,3.638
window,load_l1,8,51.435,16.004,46.974,4.624
window,load_l1,12,66.708,20.004,59.210,6.729
window,load_l1,16,83.264,24.004,71.491,8.527
window,load_l1,20,115.033,28.004,101.432,10.690
window,load_l1,24,123.444,32.004,108.755,13.007
window,load_l1,26,125.696,34.004,110.014,14.009
window,load_l1,28,127.926,36.004,111.575,15.017
window,load_l1,30,129.186,38.004,111.146,15.818
window,load_l1,32,131.735,40.004,110.105,16.769
window,load_l1,34,141.693,42.004,121.136,18.014
window,load_l1,36,185.077,44.004,163.287,19.018
window,load_l1,38,204.419,46.004,181.745,19.529
window,load_l1,40,222.313,48.004,197.967,21.018
window,load_l1,42,226.777,50.004,201.792,21.774
window,load_l1,44,229.581,52.004,203.387,23.020
window,load_l1,46,230.014,54.004,203.212,23.523
window,load_l1,48,230.995,56.004,203.020,24.815
window,load_l1,50,232.532,58.004,203.645,25.810
window,load_l1,52,233.521,60.004,203.526,27.019
window,load_l1,54,235.763,62.004,204.947,27.526
window,load_l1,56,236.192,64.004,204.265,29.012
window,load_l1,58,236.960,66.004,203.865,30.501
window,load_l1,60,237.671,68.004,203.395,31.020
window,load_l1,62,239.161,70.004,203.125,32.219
window,load_l1,64,240.043,72.004,202.036,32.766
window,load_l1,66,241.196,74.004,201.974,33.902
window,load_l1,68,242.400,76.004,203.056,35.018
window,load_l1,70,244.956,78.004,205.954,35.527
window,load_l1,72,245.264,80.004,205.165,37.010
window,load_l1,74,247.244,82.004,206.590,38.012
window,load_l1,76,247.993,84.004,206.421,39.021
window,load_l1,78,249.435,86.004,206.414,39.913
window,load_l1,80,249.982,88.004,205.548,40.524
window,load_l1,82,250.759,90.004,205.935,42.013
window,load_l1,84,252.656,92.004,206.666,43.021
window,load_l1,86,253.502,94.004,206.530,43.521
window,load_l1,88,255.479,96.004,207.687,44.523
window,load_l1,90,255.863,98.004,206.979,45.772
window,load_l1,92,257.294,100.004,207.806,47.021
window,load_l1,94,258.546,102.004,207.606,47.526
window,load_l1,96,259.792,104.004,207.817,48.522
window,load_l1,98,261.488,106.004,208.601,49.772
window,load_l1,100,262.412,108.004,208.715,51.020
window,load_l1,102,262.468,110.004,207.606,51.523
window,load_l1,104,263.926,112.004,208.307,53.007
window,load_l1,106,264.378,114.004,207.524,54.018
window,load_l1,108,265.883,116.004,208.336,55.018
window,load_l1,110,266.706,118.004,207.776,55.910
window,load_l1,112,267.783,120.004,207.982,56.863
window,load_l1,114,269.069,122.004,208.119,58.504
window,load_l1,116,269.420,124.004,207.729,59.022
window,load_l1,118,270.502,126.004,207.401,59.523
window,load_l1,120,272.501,128.004,208.817,60.522
window,load_l1,122,272.501,130.004,207.538,61.775
window,load_l1,124,274.341,132.004,208.561,63.019
window,load_l1,126,274.587,134.004,207.744,63.913
window,load_l1,128,275.447,136.004,207.706,65.009
window,load_l1,130,277.003,138.004,207.947,66.345
window,load_l1,132,277.788,140.004,208.256,67.024
window,load_l1,134,278.701,142.004,207.837,67.523
window,load_l1,136,280.463,144.004,208.836,69.011
window,load_l1,138,280.514,146.004,207.530,70.619
window,load_l1,140,282.104,148.004,208.458,71.021
window,load_l1,142,282.844,150.004,207.861,71.524
window,load_l1,144,284.030,152.004,208.305,72.523
window,load_l1,160,292.651,168.004,208.832,80.773
window,load_l1,176,301.198,184.004,209.325,88.533
window,load_l1,192,309.921,200.004,210.128,96.529
window,load_l1,224,326.453,232.004,210.670,112.529
window,load_l1,256,342.381,264.004,210.600,128.888
window,load_l1,320,374.966,328.004,211.175,160.532
window,load_l1,384,406.301,392.004,210.506,192.538
window,load_l1,448,439.272,456.004,211.458,224.533
window,load_l1,512,475.338,520.004,215.496,256.695
window_jump,load_l1,2,4,3.15,11,12
window_jump,load_l1,4,8,11.41,13,16
window_jump,load_l1,8,12,13.20,17,20
window_jump,load_l1,12,16,14.49,21,24
window_jump,load_l1,16,20,29.70,25,28
window_jump,load_l1,20,24,6.34,29,32
window_jump,load_l1,32,34,8.92,41,42
window_jump,load_l1,34,36,42.35,43,44
window_jump,load_l1,36,38,18.31,45,46
window_jump,load_l1,38,40,16.86,47,48
window_jump,load_l1,40,42,3.43,49,50
window_jump,load_l1,448,512,2.98,457,520
window,store_l1,0,29.662,8.004,27.225,3.796
window,store_l1,1,29.641,9.004,26.800,3.632
window,store_l1,2,30.076,10.004,10.511,3.616
window,store_l1,4,34.422,12.004,29.261,6.279
window,store_l1,8,53.656,16.004,45.464,12.286
window,store_l1,12,75.536,20.004,64.314,15.403
window,store_l1,16,97.569,24.004,83.789,20.317
window,store_l1,20,102.914,28.004,85.978,25.381
window,store_l1,24,142.922,32.004,124.092,30.178
window,store_l1,26,145.553,34.004,125.747,32.937
window,store_l1,28,147.099,36.004,125.005,35.394
window,store_l1,30,149.574,38.004,126.587,37.911
window,store_l1,32,150.762,40.004,126.214,40.334
window,store_l1,34,153.885,42.004,128.290,42.986
window,store_l1,36,155.822,44.004,128.104,45.393
window,store_l1,38,159.360,46.004,130.877,47.914
window,store_l1,40,160.781,48.004,130.295,50.338
window,store_l1,42,252.637,50.004,220.622,52.987
window,store_l1,44,264.912,52.004,231.171,55.375
window,store_l1,46,267.222,54.004,232.445,57.906
window,store_l1,48,268.980,56.004,232.082,60.053
window,store_l1,50,270.994,58.004,233.368,62.996
window,store_l1,52,273.617,60.004,235.064,65.394
window,store_l1,54,276.616,62.004,236.148,67.905
window,store_l1,56,278.202,64.004,236.166,70.326
window,store_l1,58,280.613,66.004,237.618,72.332
window,store_l1,60,281.779,68.004,239.702,78.034
window,store_l1,62,287.092,70.004,242.361,81.072
window,store_l1,64,288.413,72.004,240.996,80.087
window,store_l1,66,290.939,74.004,243.085,83.011
window,store_l1,68,293.857,76.004,244.808,85.403
window,store_l1,70,297.791,78.004,247.431,87.917
window,store_l1,72,299.035,80.004,246.525,90.295
window,store_l1,74,301.852,82.004,247.844,93.010
window,store_l1,76,305.067,84.004,249.794,95.416
window,store_l1,78,308.017,86.004,251.517,97.929
window,store_l1,80,309.192,88.004,250.636,100.299
window,store_l1,82,312.553,90.004,253.738,103.017
window,store_l1,84,316.044,92.004,254.952,105.360
window,store_l1,86,318.769,94.004,257.085,107.918
window,store_l1,88,320.075,96.004,256.431,110.370
window,store_l1,90,323.637,98.004,259.426,113.014
window,store_l1,92,326.303,100.004,259.932,115.377
window,store_l1,94,329.585,102.004,263.016,117.978
window,store_l1,96,329.755,104.004,260.562,120.166
window,store_l1,98,332.904,106.004,262.991,123.015
window,store_l1,100,336.301,108.004,264.557,125.510
window,store_l1,102,338.623,110.004,265.934,127.856
window,store_l1,104,339.170,112.004,264.662,130.271
window,store_l1,106,342.314,114.004,267.828,133.018
window,store_l1,108,345.457,116.004,268.254,135.303
window,store_l1,110,348.877,118.004,272.113,137.910
window,store_l1,112,349.630,120.004,269.718,140.311
window,store_l1,114,352.687,122.004,273.287,142.063
window,store_l1,116,353.537,124.004,274.858,147.072
window,store_l1,118,358.586,126.004,277.018,151.156
window,store_l1,120,359.871,128.004,275.384,150.020
window,store_l1,122,363.316,130.004,277.643,153.013
window,store_l1,124,366.614,132.004,279.389,155.438
window,store_l1,126,369.422,134.004,281.259,157.899
window,store_l1,128,371.017,136.004,280.459,160.352
